"C1R1"	"C1R2"	"C2R1"	"C2R2"	"Pac0.0005muMR1"	"Pac0.0005muMR2"	"Pac0.005muMR1"	"Pac0.005muMR2"	"Pac0.05muMR1"	"Pac0.05muMR2"	"Pac0.5muMR1"	"Pac0.5muMR2"
"ENSG00000223972"	6	2	4	0	10	8	11	10	10	18	16	18
"ENSG00000227232"	2267	857	1876	1872	2512	1709	3207	2902	2740	3248	2452	2166
"ENSG00000243485"	7	3	9	14	11	6	32	22	3	16	5	22
"ENSG00000237613"	32	17	34	69	42	32	96	69	42	57	44	61
"ENSG00000268020"	0	0	0	0	0	0	0	1	0	2	0	2
"ENSG00000240361"	0	0	0	0	2	0	0	0	1	1	0	1
"ENSG00000186092"	0	1	0	0	0	1	2	1	0	3	3	1
"ENSG00000238009"	38	14	43	42	48	29	90	89	71	74	48	73
"ENSG00000239945"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000233750"	51	26	27	50	60	22	142	100	47	100	55	78
"ENSG00000237683"	328	235	294	647	463	189	1025	845	276	790	488	663
"ENSG00000268903"	120	37	81	123	74	49	219	125	87	157	95	116
"ENSG00000269981"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000239906"	63	36	60	94	58	18	175	122	37	110	60	91
"ENSG00000241860"	385	291	389	768	487	228	1209	935	285	763	482	720
"ENSG00000222623"	4	1	0	8	3	0	6	2	1	1	0	2
"ENSG00000241599"	5	2	0	5	0	1	7	4	1	4	3	3
"ENSG00000228463"	123	79	144	137	192	125	289	299	176	260	155	205
"ENSG00000241670"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000237094"	675	432	570	1038	759	379	1850	1498	607	1339	884	1195
"ENSG00000250575"	60	27	40	70	44	36	153	119	42	85	65	71
"ENSG00000233653"	23	7	30	29	26	15	71	43	30	60	27	36
"ENSG00000224813"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000235249"	1	0	1	0	7	4	6	5	6	9	3	2
"ENSG00000269732"	2	0	0	0	1	0	5	2	0	2	3	1
"ENSG00000256186"	0	0	0	0	0	0	1	1	0	0	0	0
"ENSG00000236601"	0	0	2	1	3	6	4	2	3	0	4	1
"ENSG00000236743"	4	1	3	3	8	5	17	15	10	5	5	4
"ENSG00000236679"	19	10	24	10	53	29	46	37	49	41	55	42
"ENSG00000231709"	4	1	4	5	5	5	9	5	8	6	6	2
"ENSG00000235146"	0	1	0	4	0	0	3	2	0	0	3	1
"ENSG00000239664"	1	0	1	1	1	0	6	2	0	2	2	1
"ENSG00000230021"	45	18	39	53	51	25	84	115	72	88	58	80
"ENSG00000223659"	1	0	0	0	1	2	2	1	0	2	0	0
"ENSG00000225972"	3016	2030	2254	2503	2377	2614	3131	2761	2486	2041	2625	2105
"ENSG00000225630"	101341	80471	63357	74687	51769	75655	68383	56949	52865	43496	54480	57469
"ENSG00000237973"	101540	85970	82381	99678	93186	129296	123716	104754	93296	79189	104915	103709
"ENSG00000229344"	1499	1256	1567	2044	1487	1687	2130	2021	1773	1270	1765	1459
"ENSG00000240409"	19	10	9	6	4	10	13	26	9	4	9	7
"ENSG00000248527"	76094	61162	64128	67115	56342	82968	78649	65465	62477	48064	64561	59878
"ENSG00000198744"	2694	2331	2535	3128	2363	2498	3170	2914	2560	1769	2362	2126
"ENSG00000268663"	2	0	0	0	1	1	9	5	0	2	4	1
"ENSG00000185097"	1	0	1	0	7	4	6	5	6	9	3	2
"ENSG00000229376"	21	9	37	33	34	19	86	49	33	62	35	38
"ENSG00000224956"	537	272	349	719	557	267	1120	849	400	867	557	754
"ENSG00000235373"	248	208	247	554	285	126	813	649	158	523	285	484
"ENSG00000223181"	0	0	0	0	0	0	1	0	0	0	0	2
"ENSG00000240618"	31	29	26	48	59	19	125	90	22	89	51	77
"ENSG00000229905"	1	1	2	2	3	2	7	3	0	1	2	1
"ENSG00000228327"	157	82	127	212	165	83	339	272	159	288	170	212
"ENSG00000237491"	82	52	76	132	136	93	227	162	91	188	157	175
"ENSG00000230092"	22	14	11	17	15	9	42	21	16	24	16	16
"ENSG00000269831"	1	1	0	2	3	2	7	9	6	4	8	7
"ENSG00000240453"	0	0	1	0	0	0	1	0	0	1	0	0
"ENSG00000177757"	7	4	2	3	6	2	9	9	9	16	9	7
"ENSG00000225880"	34	17	26	24	46	39	58	46	49	48	60	45
"ENSG00000228794"	917	313	781	692	889	552	1127	918	883	1052	756	729
"ENSG00000230368"	13	8	10	16	20	13	33	27	25	23	22	13
"ENSG00000234711"	0	0	0	0	2	1	4	0	5	1	1	2
"ENSG00000269308"	0	0	0	0	0	0	2	2	0	1	0	1
"ENSG00000272438"	0	3	0	4	3	2	5	3	2	4	5	1
"ENSG00000230699"	3	13	7	5	15	12	37	36	14	23	10	19
"ENSG00000241180"	0	0	0	0	0	0	1	0	0	0	1	0
"ENSG00000223764"	13	6	5	12	19	9	27	30	14	14	11	15
"ENSG00000187634"	59	21	39	24	67	43	82	72	66	55	54	44
"ENSG00000268179"	0	1	0	0	0	0	2	2	0	0	0	2
"ENSG00000188976"	8839	2342	4707	3599	6240	4469	5979	6240	6066	6267	5219	3449
"ENSG00000187961"	931	400	843	760	941	573	1110	936	698	901	753	680
"ENSG00000187583"	497	142	266	241	315	250	445	399	288	403	244	210
"ENSG00000187642"	147	36	88	81	95	69	111	136	77	99	76	79
"ENSG00000272512"	107	46	126	109	161	97	192	145	67	193	83	129
"ENSG00000188290"	913	324	811	677	1202	834	1083	794	775	791	645	464
"ENSG00000231702"	34	33	22	26	52	27	53	67	55	31	43	42
"ENSG00000224969"	4	2	8	7	7	7	21	11	9	14	8	2
"ENSG00000187608"	3064	1896	3121	2780	7023	6201	5310	4907	3107	2766	2653	2368
"ENSG00000188157"	22680	4420	11808	9321	14068	7904	14326	13534	13486	13969	9768	8077
"ENSG00000242590"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000217801"	655	433	716	739	1121	860	1311	1339	1185	1195	1087	951
"ENSG00000273443"	48	33	68	63	80	42	116	119	55	92	88	79
"ENSG00000237330"	13	9	12	13	26	19	23	21	17	31	22	13
"ENSG00000131591"	700	245	520	439	440	283	641	602	414	570	353	391
"ENSG00000223823"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000207730"	0	0	0	0	0	0	5	0	0	0	0	0
"ENSG00000207607"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000198976"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSG00000272141"	0	0	2	5	1	0	1	2	2	1	1	1
"ENSG00000205231"	0	0	0	0	0	0	2	0	1	0	1	0
"ENSG00000162571"	2	0	1	3	0	4	3	2	3	4	0	1
"ENSG00000186891"	0	0	0	0	3	0	4	3	4	5	2	0
"ENSG00000186827"	2	3	0	0	0	3	3	6	2	5	2	5
"ENSG00000078808"	8675	2671	6528	4892	7958	5470	7236	6957	6999	7015	6384	4348
"ENSG00000176022"	2902	812	1973	1461	1821	1422	1805	1798	1853	1749	1497	1018
"ENSG00000184163"	4	4	7	6	25	22	43	30	28	54	19	33
"ENSG00000260179"	8	4	9	7	13	6	15	16	2	19	15	16
